id,country,state,city,station,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
1163,India,Karnataka,Kalaburgi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",SO2,NA,NA,NA
1167,India,Karnataka,Kalaburgi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",PM10,63,66,65
1176,India,Karnataka,Kolar,"Tamaka Ind. Area, Kolar - KSPCB",NH3,NA,NA,NA
1180,India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB",PM2.5,25,43,31
1183,India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB",NH3,NA,NA,NA
1195,India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",NO2,15,35,23
1203,India,Karnataka,Raichur,"Haji Colony, Raichur - KSPCB",NH3,NA,NA,NA
1206,India,Karnataka,Raichur,"Haji Colony, Raichur - KSPCB",OZONE,5,16,8
1216,India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",NO2,11,17,13
1220,India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",OZONE,2,74,12
652,India,Delhi,Delhi,"Pusa, Delhi - IMD",OZONE,19,42,26
664,India,Delhi,Delhi,"Rohini, Delhi - DPCC",SO2,4,7,5
666,India,Delhi,Delhi,"Rohini, Delhi - DPCC",OZONE,5,12,7
672,India,Delhi,Delhi,"Shadipur, Delhi - CPCB",CO,30,105,87
676,India,Delhi,Delhi,"Sirifort, Delhi - CPCB",NO2,29,46,37
680,India,Delhi,Delhi,"Sirifort, Delhi - CPCB",OZONE,1,53,7
681,India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",PM2.5,48,88,73
682,India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",PM10,131,177,153
686,India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",CO,50,70,59
699,India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",SO2,3,5,4
705,India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",NH3,9,10,10
709,India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",PM2.5,54,217,90
