Match,Team,BowlerName,Over,Maidens,Runs,Wickets,Economy,0s,4s,6s,WideBalls,NoBalls,MatchID
Bangladesh vs South Africa,Bangladesh,Mahmudullah,3,0,20,0,6.66,7,1,1,1,0,ODI # 4680
Bangladesh vs South Africa,South Africa,Marco Jansen,8,0,39,2,4.87,34,5,0,5,0,ODI # 4680
Bangladesh vs South Africa,South Africa,Lizaad Williams,8.4,1,56,2,6.46,33,7,2,5,0,ODI # 4680
Bangladesh vs South Africa,South Africa,Gerald Coetzee,10,0,62,3,6.2,36,8,2,1,1,ODI # 4680
Bangladesh vs South Africa,South Africa,Kagiso Rabada,10,1,42,2,4.2,36,3,1,0,1,ODI # 4680
Bangladesh vs South Africa,South Africa,Keshav Maharaj,10,0,32,1,3.2,36,2,0,1,0,ODI # 4680
Australia vs Netherlands,Netherlands,Aryan Dutt,7,0,59,1,8.42,17,9,1,0,0,ODI # 4681
Australia vs Netherlands,Netherlands,Colin Ackermann,4,0,19,0,4.75,10,0,1,0,0,ODI # 4681
Australia vs Netherlands,Netherlands,Logan van Beek,10,0,74,4,7.4,31,7,3,5,0,ODI # 4681
Australia vs Netherlands,Netherlands,Paul van Meekeren,10,0,64,0,6.4,29,7,1,3,0,ODI # 4681
Australia vs Netherlands,Netherlands,Vikramjit Singh,4,0,27,0,6.75,13,3,1,1,0,ODI # 4681
Australia vs Netherlands,Netherlands,Roelof van der Merwe,5,0,41,0,8.2,11,3,2,1,0,ODI # 4681
Australia vs Netherlands,Netherlands,Bas de Leede,10,0,115,2,11.5,20,13,6,1,1,ODI # 4681
Australia vs Netherlands,Australia,Mitchell Starc,4,0,22,1,5.5,19,5,0,2,0,ODI # 4681
Australia vs Netherlands,Australia,Josh Hazlewood,6,0,27,1,4.5,25,4,0,2,0,ODI # 4681
Australia vs Netherlands,Australia,Pat Cummins,4,0,14,1,3.5,16,2,0,0,0,ODI # 4681
Australia vs Netherlands,Australia,Mitchell Marsh,4,0,19,2,4.75,15,2,0,3,0,ODI # 4681
Australia vs Netherlands,Australia,Adam Zampa,3,0,8,4,2.66,10,0,0,0,0,ODI # 4681
England vs Sri Lanka,Sri Lanka,Dilshan Madushanka,5,0,37,0,7.4,18,7,0,0,0,ODI # 4682
England vs Sri Lanka,Sri Lanka,Kasun Rajitha,7,0,36,2,5.14,25,5,0,1,0,ODI # 4682
England vs Sri Lanka,Sri Lanka,Maheesh Theekshana,8.2,1,21,1,2.52,36,1,0,3,0,ODI # 4682
England vs Sri Lanka,Sri Lanka,Angelo Mathews,5,1,14,2,2.8,17,0,0,0,0,ODI # 4682
